,Mkt-RF,SMB,HML,RMW,CMA,RF,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
200012,1.19,3.25,7.33,1.89,5.72,0.5,-9.6698,1.3999,0.158,3.7002,2.7254,-0.3089,7.7337,12.5186,10.263,12.0566,2.8996,13.514,11.243,13.613,9.9395,4.6031,9.4741,10.679,11.5583,15.9576,-1.3152,8.1697,7.3414,7.2623,1.0604
200101,3.13,5.75,-4.9,-4.89,-6.54,0.54,26.9775,17.2034,14.0417,11.827,13.0909,15.0177,8.17,4.3063,5.5149,5.6743,12.8112,2.8043,-0.2723,-1.6528,3.3065,7.0785,0.9869,-0.354,-2.757,3.2854,3.265,3.0006,3.7874,-1.135,2.8983
200102,-10.05,2.66,12.9,9.13,9.58,0.38,-13.729,-9.1967,-1.802,0.4611,-0.2341,-13.814,-2.4039,-1.3703,-2.001,2.3399,-17.333,-3.827,-0.404,1.2189,0.6291,-14.8992,-2.4827,0.2567,0.5788,0.6832,-11.9841,-2.8814,-0.707,2.8486,3.1302
200103,-7.26,2.32,6.45,3.34,3.95,0.42,-12.2074,-1.1609,-1.1813,-0.1136,-1.8203,-5.63,-0.5614,-2.5608,-1.2362,-1.2278,-11.6543,-4.4784,-3.4002,-3.674,0.724,-11.3448,-3.1045,-2.0543,-0.5266,-1.5636,-8.5223,-2.4231,-0.3606,-1.1822,-2.9725
200104,7.94,-0.65,-4.69,-3.06,-3.97,0.39,8.9106,7.024,2.515,4.929,5.0678,11.2406,4.9633,6.9937,4.3564,5.4459,11.3736,8.9541,5.8641,4.7312,6.0911,16.0183,7.7229,4.8749,8.1267,8.0941,9.1111,4.8572,3.6199,2.7077,6.6172
200105,0.72,3.6,3.14,0.46,2.19,0.32,12.9434,11.2978,9.2647,11.3782,10.5628,2.4357,3.9687,2.2184,4.9124,4.3258,4.9001,0.2123,3.1944,0.6685,1.6707,3.476,3.7894,3.1321,1.0869,4.4502,0.031,1.7423,3.0613,0.9906,4.94
200106,-1.94,6.6,-1.06,1.71,-1.8,0.28,2.3956,2.8897,4.9331,3.1064,0.1427,6.5676,9.6035,7.1378,6.3556,4.1618,4.9141,-1.0181,1.1383,0.2949,0.7651,3.6344,-1.2331,-1.1615,-3.4624,3.1936,-2.2216,-3.8585,-0.1929,-2.3251,1.9424
200107,-2.13,-2.95,5.58,7.03,3,0.3,-9.3461,-7.6425,-2.3472,0.1978,-0.335,-10.2434,-7.4938,-6.5949,-3.0845,-3.465,-9.2165,-4.3159,-2.9337,-0.7316,2.0462,-5.0706,-1.1562,1.0237,1.9481,-0.7068,-1.6248,-0.3686,-2.1262,-2.2045,5.4028
200108,-6.46,2.71,2.5,4.09,6.5,0.31,-8.2687,-5.2614,-3.4015,-1.2683,-1.0764,-10.0589,-4.3228,-2.4583,-1.5038,-1.1907,-7.3447,-3.2079,-3.0659,-0.9083,-1.4216,-7.1721,-4.1457,-3.2219,-1.5992,-10.4636,-7.2597,-4.1758,-3.0792,-8.3521,-8.5045
200109,-9.25,-5.72,1.6,5.24,3.28,0.28,-15.9488,-15.1455,-10.1189,-9.3346,-13.7656,-18.684,-15.5503,-12.1375,-15.3533,-16.6687,-15.563,-13.0888,-12.1599,-12.4029,-19.1889,-16.6338,-13.0974,-9.6599,-13.8222,-17.5199,-7.4383,-8.814,-7.1874,-11.1503,-2.2527
200110,2.46,5.4,-8.1,-2.82,-4.6,0.22,9.0966,7.3809,6.8849,4.2216,4.7666,11.8496,8.7197,5.0372,2.4868,4.1185,13.5057,6.4337,4.266,3.9728,9.7766,8.5269,3.5492,0.8314,3.9271,2.2004,3.4691,-0.4557,-1.7388,1.4097,-13.2389
200111,7.54,-0.27,2,-3.53,-1.66,0.17,7.1066,10.3751,4.5097,6.2861,6.794,10.5063,8.4252,5.809,10.2711,11.5111,9.9388,6.4747,7.2245,8.8155,12.7949,10.5831,9.2027,6.4991,10.3892,10.1413,7.904,6.1179,5.2866,10.862,12.8382
200112,1.61,5.14,1.1,0.24,-0.32,0.15,12.5069,7.1346,5.8655,5.6997,7.2328,8.301,5.7425,7.013,7.8888,7.5931,5.068,6.2327,6.8097,5.656,7.4257,3.6899,4.6155,6.0029,5.1922,4.3228,0.0237,2.7927,3.515,-1.2443,1.4929
200201,-1.44,1.2,3.33,4.42,2.84,0.14,-7.9709,-1.0329,2.6309,3.3528,5.0982,-6.5248,-2.3745,0.3921,0.935,1.4215,-4.7863,-1.4077,-1.1775,1.9217,3.8636,-3.7731,0.0319,1.6971,2.7276,-4.0793,-0.7345,-2.2703,-1.2506,-1.0043,-6.6355
200202,-2.29,-0.46,2.5,7.71,5.14,0.13,-10.3069,-5.8659,-3.7031,-1.4138,-3.4017,-9.7296,-5.961,-0.5275,1.4023,-0.3768,-7.1242,-0.851,-0.2464,0.0637,3.8678,-4.1335,1.1784,1.2964,-2.4589,3.5143,-2.7102,0.7539,-0.2308,-1.3286,-10.2423
200203,4.24,4.23,1.11,-1.93,0.58,0.13,5.902,7.7484,7.8479,8.0346,9.8896,8.6759,9.0482,7.6962,7.7805,12.4395,8.3868,6.8668,7.2075,7.3256,9.4125,6.805,6.7834,5.8688,5.076,7.7103,3.0511,5.6833,4.1252,6.4009,2.9457
200204,-5.2,6.67,3.93,4.21,5.39,0.15,-9.4796,0.2879,2.3702,3.4256,5.4969,-4.9043,0.5643,3.587,4.4076,4.5534,-5.0038,1.3284,1.4505,1.1003,-0.3521,-3.3716,1.0567,-0.7811,-0.974,-0.5279,-7.8846,-3.8958,0.6307,-1.8273,-16.5455
200205,-1.38,-3.06,1.69,2.43,2.41,0.14,-7.2214,-5.4652,-2.3851,0.9685,0.1944,-7.4745,-5.6392,-4.0669,-3.1342,-6.2014,-5.7148,-3.1752,-3.6181,-2.3255,-3.5242,-3.2601,-0.2994,-0.2724,-1.6209,1.1646,-1.4268,0.3312,0.1427,2.6425,-6.0144
200206,-7.21,3.85,0.13,3.84,2.54,0.13,-9.1292,-6.144,-0.7773,0.4685,-1.0511,-8.0368,-5.4945,-1.4969,-1.4435,-3.4527,-7.4693,-7.4155,-5.5529,-4.425,-7.2494,-9.5331,-7.3787,-6.7488,-5.4684,-10.0458,-7.579,-4.6651,-5.6695,-10.7337,-14.0749
200207,-8.18,-6.27,-3.41,3.84,-0.73,0.15,-19.3589,-15.6697,-14.1806,-11.3879,-12.1466,-16.2207,-16.7483,-14.0182,-15.6084,-19.2522,-8.4828,-10.1355,-11.4766,-13.3366,-15.8225,-10.7409,-8.257,-10.5294,-11.0624,-18.4433,-5.1795,-10.062,-7.6327,-9.9409,-14.3171
200208,0.5,-1.25,2.49,1.29,-1.61,0.14,0.7853,-1.7997,-2.732,-0.3385,-2.1003,0.2038,0.8488,-0.5275,0.9729,-0.7562,0.2678,-0.1153,2.5287,2.1393,3.9952,-1.0155,-0.2214,1.3565,0.1756,5.1122,0.2196,0.1301,1.4978,4.1415,7.9068
200209,-10.35,3.08,1.31,3.19,-2.29,0.14,-10.9257,-7.8229,-7.9987,-6.7404,-6.8466,-8.0191,-6.7321,-5.8059,-8.385,-7.8177,-7.9202,-8.479,-9.2739,-7.177,-10.1227,-8.5565,-8.9482,-12.6596,-11.5405,-21.8125,-10.9961,-11.4485,-8.3629,-8.6523,-8.8729
200210,7.84,-4.08,-5.46,-2.95,0.92,0.14,5.7349,4.8452,3.371,1.4515,1.2914,9.9002,3.0423,3.8717,2.1306,-2.2431,6.5884,3.202,6.0249,3.0018,-0.594,6.8216,5.7845,3.0729,4.1949,3.2292,9.6387,10.7945,3.3654,6.7784,9.3592
200211,5.96,2.91,-1.15,-9.15,5.16,0.12,17.903,12.453,10.5082,7.9424,9.3667,13.1562,10.4032,7.9747,5.9997,6.0077,9.7699,7.6871,6.2155,6.2881,11.045,9.6226,7.2255,9.5638,8.6306,15.5161,4.6688,6.2453,4.8721,6.8492,7.2204
